
1592314763105;2;uomo;6;11;14
1592327834521;4;uomo;9;11;14
1592328877396;3;donna;9;11;14
1592329306939;2;uomo;6;13;14
1592330066979;2;uomo;6;13;14
1592330327539;2;uomo;7;12;14
1592330567478;2;uomo;7;13;14
1592333737395;2;uomo;7;11;14
1592336372519;2;uomo;6;12;14
1592377715444;2;uomo;6;13;14
1592384795692;2;uomo;8;11;14
1592385181158;3;donna;7;12;14
1592386389623;3;uomo;7;11;14
1592391227933;2;uomo;6;11;14
1592391466032;2;uomo;6;11;14
1592391624450;2;uomo;6;12;14
1592392119768;5;uomo;6;12;15
1592392370855;2;uomo;6;12;14
1592393262252;2;donna;6;13;14
1592393635780;2;donna;6;13;14
1592393866297;2;donna;6;12;14
1592394567268;2;donna;6;13;14
1592394689451;1;uomo;6;13;14
1592394985388;3;donna;6;12;14
1592408315253;2;uomo;6;11;14
1592427456547;2;uomo;7;12;14
1592428638614;2;uomo;7;11;14
1592491961668;3;uomo;6;12;14
1592492102298;1;uomo;10;13;14
1592492226105;4;donna;6;12;14
1592492504855;4;donna;10;13;14
1592493306334;2;uomo;6;12;14
1592498435980;2;uomo;7;13;14
1592498545042;2;donna;6;13;14
1592507149548;2;uomo;6;12;14
1592507234592;2;donna;7;13;14
1592507324450;1;donna;10;13;14
1592511972348;2;donna;7;11;14
1592512026788;2;uomo;8;11;14
1592553230382;2;donna;7;12;14
1592665521638;2;donna;6;12;14
1592686197066;2;uomo;6;12;14
1592686474237;4;donna;10;11;14
1592686663458;3;donna;7;12;14
1592773521533;3;donna;7;12;14
1592773593985;4;uomo;10;11;14
1592773674504;4;donna;6;11;14
1592852026182;3;uomo;6;11;14
1592852298406;2;uomo;7;13;14
1592852460360;2;uomo;7;12;14
1592852484677;5;donna;6;11;14
1592852614749;2;uomo;7;12;14
1592852789920;5;uomo;10;13;14
1592853217845;2;uomo;7;11;14
1592854257993;3;uomo;6;12;14
1592854961388;2;uomo;6;11;14
1592855331705;3;uomo;7;12;14
1592856017196;5;uomo;6;12;14
1592856780641;2;donna;6;13;14
1592857094570;3;uomo;6;13;14
1592857310810;3;uomo;8;13;15
1592859885063;2;uomo;6;13;14
1592861918027;2;uomo;6;11;14
1592894506551;1;uomo;6;12;14
1592894706095;5;donna;6;11;14
1592894906864;3;uomo;6;12;14
1592894946015;4;uomo;6;11;14
1592895136918;1;uomo;8;12;14
1592895144806;3;donna;8;12;14
1592895375793;4;uomo;7;12;14
1592895676654;3;donna;8;12;14
1592897259621;3;uomo;8;11;14
1592897304542;2;uomo;6;12;14
1592897378447;2;donna;6;12;14
1592897974421;2;uomo;6;12;14
1592898376425;2;uomo;6;11;14
1592898420932;2;donna;7;12;14
1592899306372;4;uomo;6;11;14
1592899713587;1;donna;6;12;14
1592900046886;5;uomo;6;12;14
1592901967144;3;uomo;8;13;14
1592902910740;2;uomo;7;12;14
1592906605216;2;uomo;6;12;14
1592915422753;5;uomo;6;11;14
1592922877119;2;uomo;6;12;14
1592927588535;5;donna;10;12;14
1592934437670;2;uomo;7;12;14
1592947021714;1;uomo;6;11;14
1592947228037;4;uomo;6;12;14
1592947385650;3;uomo;6;12;14
1592948400567;3;donna;6;12;14
1592990854913;2;uomo;6;12;14
1593028266589;2;uomo;6;11;14
1593031466083;2;uomo;6;11;14
1593031544736;4;donna;6;11;15
1593032865852;2;uomo;6;11;15
1593033737835;1;uomo;6;12;14
1593035135206;3;uomo;7;12;14
1593035622841;2;uomo;6;12;14
1593071667698;2;uomo;6;11;14
1593072289808;4;donna;6;11;15
1593074713305;5;uomo;7;12;14
1593077462282;4;uomo;6;11;14
1593091257090;2;donna;7;11;14
1593091366036;3;uomo;7;12;14
1593092494134;2;uomo;10;12;14
1593094110795;4;uomo;10;12;14
1593101087662;3;donna;6;11;14
1593101594118;5;uomo;6;12;15
1593101860516;3;uomo;7;13;14
1593108571026;4;uomo;6;11;14
1593111076266;1;donna;10;13;14
1593111253386;3;donna;7;12;14
1593111343703;4;uomo;10;11;14
1593111805013;2;uomo;7;12;14
1593112028622;1;donna;10;12;14
1593112185537;2;uomo;6;12;14
1593157122056;2;uomo;6;12;14
1593157316503;3;donna;10;12;14
1593159179830;4;uomo;6;11;14
1593160373291;4;donna;6;11;14
1593170012588;2;donna;7;11;14
1593173365586;3;donna;6;11;14
1593178758647;5;donna;10;11;15
1593178989434;3;uomo;8;12;14
1593179203457;5;donna;10;11;14
1593179754134;2;uomo;6;12;14
1593180421258;2;uomo;7;13;14
1593181919616;2;uomo;8;12;14
1593194020847;4;donna;6;11;14
